payer,code,hospital_name,code_type,hospital_state,cms_baseline_rate,hospital_rate,payer_standard_charge_gross,payer_standard_charge_discounted_cash,payer_standard_charge_negotiated_dollar,payer_standard_charge_negotiated_percentage,payer_standard_charge_min,payer_standard_charge_max,payer_standard_charge_methodology
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,32829.5,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,1037.64,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,,,,,unknown
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,1464.39,278.23,1037.64,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,13583.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,1464.39,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,13788.39,42.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,32829.5,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,1037.64,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,,,,,unknown
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,1464.39,278.23,1037.64,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,180.87,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,1464.39,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,13788.39,42.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,32829.5,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,1037.64,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,,,,,unknown
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,1464.39,278.23,1037.64,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,937.56,11546.0,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,1464.39,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,13788.39,42.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,32829.5,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,1037.64,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,,,,,unknown
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,1464.39,278.23,1037.64,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,151.42,242.88,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,1464.39,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,13788.39,42.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,32829.5,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,7822.0,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,1037.64,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,,,,100.0,,,percent of total billed charges
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,1464.39,278.23,8124.66,,,,case rate
Aetna,43239,NYU Langone,CPT,NY,424.76,494.46,32829.5,6237.61,6894.2,21.0,,,percent of total billed charges
